Epoch,Model Name,Horizon,Dataset,Use_sam,Training Loss,Validation Loss
8,transformer,52,flu,False,0.702553927898407,1.5730345249176025
9,transformer,52,flu,False,0.6801027059555054,1.5912202596664429
10,transformer,52,flu,False,0.6684079766273499,1.5935951471328735
11,transformer,52,flu,False,0.6566205024719238,1.6104493141174316
12,transformer,52,flu,False,0.6321671605110168,1.6247705221176147
13,transformer,52,flu,False,0.6137616038322449,1.6729625463485718
1,transformer,52,flu,False,1.8507635593414307,1.9452160596847534
2,transformer,52,flu,False,1.411468267440796,1.705646276473999
3,transformer,52,flu,False,1.2803722620010376,1.6228476762771606
4,transformer,52,flu,False,1.2371057271957397,1.5907037258148193
5,transformer,52,flu,False,1.2117208242416382,1.5830529928207397
6,transformer,52,flu,False,1.1888636350631714,1.4995455741882324
7,transformer,52,flu,False,1.1394435167312622,1.4660108089447021
8,transformer,52,flu,False,1.1115204095840454,1.4662185907363892
9,transformer,52,flu,False,1.0832101106643677,1.4616988897323608
10,transformer,52,flu,False,1.0766866207122803,1.4621119499206543
11,transformer,52,flu,False,1.0711575746536255,1.4979523420333862
12,transformer,52,flu,False,1.045251727104187,1.5215462446212769
13,transformer,52,flu,False,1.0172361135482788,1.5331921577453613
14,transformer,52,flu,False,1.0050928592681885,1.5702840089797974
1,transformer,52,flu,False,1.629136323928833,2.2030715942382812
2,transformer,52,flu,False,1.0578601360321045,1.8170382976531982
3,transformer,52,flu,False,0.902141809463501,1.7203339338302612
4,transformer,52,flu,False,0.8385328054428101,1.6856036186218262
5,transformer,52,flu,False,0.8155719041824341,1.6728100776672363
6,transformer,52,flu,False,0.7846116423606873,1.6154083013534546
7,transformer,52,flu,False,0.7309021353721619,1.5923898220062256
8,transformer,52,flu,False,0.6979937553405762,1.6053540706634521
9,transformer,52,flu,False,0.6783217191696167,1.615539312362671
10,transformer,52,flu,False,0.6679086089134216,1.6217150688171387
11,transformer,52,flu,False,0.6600205898284912,1.7180358171463013
12,transformer,52,flu,False,0.6314287185668945,1.7064056396484375
1,transformer,52,flu,False,1.3306487798690796,8.456850051879883
2,transformer,52,flu,False,0.7961333394050598,7.2715911865234375
3,transformer,52,flu,False,0.6754103302955627,6.957167148590088
4,transformer,52,flu,False,0.6290522813796997,6.800234317779541
5,transformer,52,flu,False,0.6121419072151184,6.8023834228515625
6,transformer,52,flu,False,0.59062659740448,6.751928329467773
7,transformer,52,flu,False,0.5515719652175903,6.899997234344482
8,transformer,52,flu,False,0.5278076529502869,6.987516403198242
9,transformer,52,flu,False,0.5122039914131165,7.040406227111816
10,transformer,52,flu,False,0.5044305920600891,6.97380256652832
11,transformer,52,flu,False,0.49943116307258606,7.071443557739258
